File,PSNR,SSIM,LPIPS,CLIP_Score,FID
bakery_product1_20260703091257.39.png,6.539688514252026,0.5279897332146783,0.2467,25.875,15.2
bakery_product1_20260706004603.23.png,29.55,0.8191,0.2447,24.15625,0.0678
bakery_product1_20260706013830.62.png,29.47,0.8103,0.2489,25.546875,0.1092
bakery_product1_20260706022332.69.png,29.73,0.8524,0.2569,26.78125,0.0603
bakery_product1_20260706022959.44.png,29.38,0.5052,0.2143,27.46875,-0.5935
bakery_product1_20260706023621.53.png,29.36,0.6132,0.2326,28.0625,-0.0979
bakery_product1_20260706024842.26.png,29.52,0.8513,0.2517,28.703125,0.1606
bakery_product1_20260706040929.78.png,29.66,0.8091,0.2481,24.65625,0.2309
bakery_product1_20260706084607.93.png,29.38,0.8535,0.2348,30.328125,0.2047
bakery_product1_20260703091903.07.png,29.73,0.512,0.207,25.734375,-0.5153
bakery_product1_20260706013245.98.png,29.51,0.8747,0.2512,26.203125,0.0789
bakery_product1_20260706014204.10.png,29.56,0.85,0.2388,25.578125,0.212
bakery_product1_20260706022710.63.png,29.55,0.79,0.2475,27.03125,-0.1081
bakery_product1_20260706023308.54.png,29.26,0.853,0.2472,28.4375,0.1397
bakery_product1_20260706023916.73.png,29.6,0.8069,0.2573,28.21875,-0.2404
bakery_product1_20260706040629.79.png,29.44,0.851,0.2436,26.203125,0.1031
bakery_product1_20260706084020.23.png,29.8,0.8447,0.2509,25.84375,0.2193
bakery_product1_20260706090624.01.png,29.68,0.8529,0.2559,25.6875,0.1612
